Column,P-Value
Interface_Non-Matching_Percent_Pair_2,0.0022722919798327237
Interface_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_2,0.002296223465567366
Blast_Mismatch_Count_Pair_2,0.002408354664088523
Blast_Identical_Percent_Pair_1,0.002576368068483905
Special-Sites_Matching_Percent_Pair_2,0.0027160638666508235
Special-Sites_Sum_Blosum_Non-Similar_Scores_Joint,0.0027466344900612927
Blast_Identical_Count_Joint,0.0027537259630403843
Interface_Difference_Molecular_Weight_Scores_Pair_1,0.0032503231476866154
Interface_Average_Difference_Helix_Percent_Pair_1,0.0033600235169245923
Blast_Bitscore_Pair_2,0.0035633996270001836
Interface_Sum_Blosum_Non-Similar_Scores_Pair_2,0.003567451787723709
Global_Non-Matching_Count_Pair_2,0.003701292726021623
Interface_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_1,0.0037159119492736264
Interface_Difference_Flexibility_Scores_Pair_1,0.003805318547689398
Interface_Difference_Polarizability_Scores_Pair_1,0.0038359745367219263
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Joint,0.004094135276667963
Special-Sites_Average_Sum_Blosum_Positive_Scores_Pair_2,0.004103924672482078
Global_Average_Sum_Blosum_Similar_Scores_Pair_2,0.004307449679323268
Interface_Average_Difference_Helix_Percent_Joint,0.005570234070396722
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_2,0.005686154134377579
Interface_Difference_Volume_Side_Chains_Scores_Pair_1,0.006341165295535373
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_1,0.006377786450011787
Global_Non-Matching_Percent_Pair_2,0.006533379377452366
Interface_Difference_Total_Accessible_Surface_Area_Scores_Joint,0.008261046716588194
Interface_Difference_Molecular_Weight_Scores_Joint,0.010888530774594837
Blast_Start_B_Pair_1,0.011277069365520804
Interface_Difference_Polarizability_Scores_Joint,0.011485937648699844
Interface_Non-Matching_Count_Pair_2,0.012756489458626789
Blast_End_A_Pair_2,0.013021008457061143
Domain_Non-Matching_Percent_Pair_1,0.015227644174610387
Special-Sites_Matching_Count_Joint,0.01713434922534988
Special-Sites_Sum_Blosum_Non-Similar_Scores_Pair_2,0.01856745028128684
Special-Sites_Sum_Blosum_Positive_Scores_Joint,0.018779165212249156
Global_Sum_Blosum_Similar_Scores_Pair_2,0.02033510297490428
Special-Sites_Sum_Blosum_Matching_Scores_Joint,0.020740095351067758
Interface_Difference_Emini_Surface_Fractional_Probability_Scores_Joint,0.021565335131852326
Interface_Average_Difference_Hydrophobicity_Scores_Joint,0.02496494072721509
Domain_Average_Sum_Blosum_Similar_Scores_Pair_2,0.02542182152689571
Interface_Difference_Polarity_Scores_Pair_2,0.026119805713331178
Interface_Difference_Helix_Count_Pair_2,0.02911349287527287
Interface_Difference_Volume_Buried_Residue_Scores_Pair_2,0.030340386019860787
Interface_Difference_Turn_Count_Pair_2,0.030409036730540975
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_1,0.03155923829006316
Interface_Average_Difference_Flexibility_Scores_Joint,0.03190143890213229
Interface_Average_Difference_Volume_Buried_Residue_Scores_Joint,0.03241425351813192
Interface_Overlapping_Special-Sites_Percent_Pair_2,0.03301947843066665
Blast_Alignment_Length_Pair_2,0.033239009103137915
Interface_Overlapping_Special-Sites_Count_Pair_2,0.03347964479718853
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Joint,0.03550884303085826
Interface_Difference_Flexibility_Scores_Joint,0.04007193183962926
Interface_Overlapping_Special-Sites_Count_Joint,0.044111655585242486
Interface_Average_Difference_Flexibility_Scores_Pair_1,0.04763669666404606
Interface_Difference_Volume_Side_Chains_Scores_Joint,0.04936851406438781
Interface_Average_Difference_Polarity_Scores_Joint,0.054871970084036874
Interface_Non-Matching_Percent_Pair_1,0.055848346895374136
Special-Sites_Non-Matching_Count_Pair_2,0.05665733534809415
Interface_Overlapping_Domain_Count_Pair_1,0.05722469966785358
Interface_Average_Difference_Volume_Buried_Residue_Scores_Pair_1,0.0606822062363518
Interface_Average_Sum_Blosum_Non-Similar_Scores_Joint,0.062218030636206935
Interface_Overlapping_Domain_Count_Joint,0.08608615193462177
Interface_Overlapping_Special-Sites_Percent_Joint,0.087158011899301
Blast_Coverage_A_Pair_2,0.08849186665879966
Interface_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,0.08920295720877552
Interface_Average_Difference_Total_Accessible_Surface_Area_Scores_Joint,0.09090349524129993
Special-Sites_Sum_Blosum_Matching_Scores_Pair_1,0.0956594525584733
Blast_Mismatch_Percent_Pair_2,0.09906922446882033
Interface_Average_Difference_Turn_Percent_Pair_2,0.10180628819827348
Interface_Average_Difference_Polarizability_Scores_Joint,0.10354145023202027
Interface_Overlapping_Special-Sites_Count_Pair_1,0.10409682280449173
Special-Sites_Non-Matching_Percent_Pair_1,0.10584214288095573
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_1,0.10618237917784029
Global_Score_Joint,0.10637437679254519
Special-Sites_Sum_Blosum_Positive_Scores_Pair_1,0.12155765306375449
Blast_Identical_Count_Pair_2,0.1254815960870299
Interface_Average_Difference_Total_Accessible_Surface_Area_Scores_Pair_1,0.1319360379453855
Fasta_Length_A_Pair_2,0.1342533495273539
Interface_Average_Difference_Hydrophobicity_Scores_Pair_1,0.13496342122893817
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Joint,0.13861061230387323
Interface_Average_Difference_Molecular_Weight_Scores_Joint,0.14184793723631656
Interface_Overlapping_Domain_Percent_Pair_2,0.14404679228519668
Interface_Average_Difference_Polarity_Scores_Pair_1,0.14790469510862664
Interface_Average_Difference_Polarizability_Scores_Pair_1,0.15198211574112058
Special-Sites_Matching_Count_Pair_1,0.16268610422237445
Interface_Average_Difference_Volume_Side_Chains_Scores_Joint,0.1635589222444923
Special-Sites_Matching_Percent_Joint,0.16698058272717947
Interface_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_2,0.1682183586066467
Interface_Overlapping_Domain_Percent_Joint,0.16953213698825176
Special-Sites_Length_Pair_1,0.1831371041319826
Special-Sites_Average_Sum_Blosum_Positive_Scores_Joint,0.18363077010762036
Domain_Sum_Blosum_Positive_Scores_Pair_2,0.19009817950010766
Blast_Mismatch_Percent_Pair_1,0.19377920478732796
Special-Sites_Sum_Blosum_Similar_Scores_Pair_2,0.1945572625473289
Special-Sites_Average_Sum_Blosum_Matching_Scores_Joint,0.19590419646680907
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,0.1959705381233237
Interface_Average_Difference_Volume_Side_Chains_Scores_Pair_1,0.2060081766154696
Interface_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_2,0.20934848486778007
Blast_Bitscore_Pair_1,0.21920097330993782
Blast_Start_A_Pair_2,0.23569012649986332
Interface_Average_Difference_Molecular_Weight_Scores_Pair_1,0.23704604377055266
Interface_Overlapping_Domain_Count_Pair_2,0.24206910332817644
Domain_Matching_Count_Pair_2,0.24747820213486216
Blast_Coverage_B_Pair_1,0.2545058494434105
Special-Sites_Sum_Blosum_Positive_Scores_Pair_2,0.2677944284992475
Domain_Sum_Blosum_Matching_Scores_Pair_2,0.2722962652646106
Interface_Overlapping_Special-Sites_Percent_Pair_1,0.27289619107490676
Blast_Positive_Count_Pair_2,0.27687941103902347
Special-Sites_Length_Joint,0.2823890774033251
Interface_Non-Matching-Gap_Count_Pair_1,0.28493314112014945
Special-Sites_Matching_Count_Pair_2,0.2953264774465793
Interface_Average_Difference_Sheet_Percent_Pair_2,0.32404111504856753
Interface_Overlapping_Domain_Percent_Pair_1,0.32760118431717655
Special-Sites_Average_Sum_Blosum_Similar_Scores_Pair_2,0.3323213547227988
Special-Sites_Sum_Blosum_Matching_Scores_Pair_2,0.34918553835680505
Global_Matching_Count_Pair_2,0.35279073789393467
Special-Sites_Sum_Blosum_Non-Similar_Scores_Pair_1,0.3614736187570325
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_2,0.3660363125022086
Blast_E-Value_Joint,0.3678440688199911
Special-Sites_Non-Matching-Gap_Percent_Pair_2,0.3809254203278996
Special-Sites_Sum_Blosum_Similar_Scores_Pair_1,0.39764506106247766
Special-Sites_Matching_Percent_Pair_1,0.39873886900168626
Blast_Coverage_A_Joint,0.39944687300646176
Blast_Start_A_Pair_1,0.400591337689377
Interface_Difference_Hydrophobicity_Scores_Pair_2,0.4014892741147788
Blast_Mismatch_Percent_Joint,0.4060507685525607
Special-Sites_Non-Matching-Gap_Count_Pair_2,0.40733152031572206
Blast_Bitscore_Joint,0.4080319873781423
Blast_E-Value_Pair_1,0.41141635651207303
Interface_Non-Matching-Gap_Count_Joint,0.41596879658526875
Global_Score_Pair_1,0.4169391488621923
Special-Sites_Average_Sum_Blosum_Matching_Scores_Pair_1,0.4171506106000141
Special-Sites_Average_Sum_Blosum_Similar_Scores_Pair_1,0.4195400755600882
Global_Sum_Blosum_Positive_Scores_Pair_2,0.4217553618422565
Interface_Non-Matching-Gap_Percent_Joint,0.43441733311599245
Special-Sites_Average_Sum_Blosum_Positive_Scores_Pair_1,0.43627412249949277
Special-Sites_Non-Matching-Gap_Count_Pair_1,0.44158390077695403
Blast_Coverage_A_Pair_1,0.44171021579450687
Interface_Non-Matching-Gap_Percent_Pair_1,0.445456166316362
Special-Sites_Non-Matching_Count_Pair_1,0.44827743881323245
Blast_Start_A_Joint,0.45270480440823874
Special-Sites_Non-Matching-Gap_Count_Joint,0.458774267277476
Special-Sites_Non-Matching-Gap_Percent_Joint,0.45935178493329787
Global_Sum_Blosum_Matching_Scores_Pair_2,0.46875367367682097
Special-Sites_Non-Matching-Gap_Percent_Pair_1,0.47029642881093814
Special-Sites_Length_Pair_2,0.47662561125364133
Interface_Gap_Score_Pair_2,0.49999508242925894
Interface_Gap_Score_Joint,0.49999508242925894
Interface_Gap_Score_Pair_1,0.49999508242925894
