Column,P-Value
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_1,9.405302209275674e-62
Blast_Mismatch_Percent_Pair_1,2.3991764926367607e-61
Special-Sites_Non-Matching_Percent_Pair_1,2.4235976083436553e-61
Interface_Average_Difference_Turn_Percent_Pair_1,4.1936456007514114e-61
Interface_Overlapping_Domain_Percent_Pair_1,4.909226682888319e-61
Interface_Overlapping_Domain_Percent_Joint,5.667463548317352e-61
Global_Sum_Blosum_Non-Similar_Scores_Pair_1,8.17231879085827e-61
Special-Sites_Length_Joint,1.6690456719539003e-60
Global_Average_Sum_Blosum_Positive_Scores_Pair_1,2.62985106075001e-60
Interface_Average_Difference_Flexibility_Scores_Pair_2,5.292834682217752e-60
Interface_Average_Difference_Sheet_Percent_Pair_2,3.6761044601146267e-59
Global_Sum_Blosum_Non-Similar_Scores_Pair_2,2.6001017281669527e-58
Interface_Non-Matching_Percent_Pair_1,2.6135915720295373e-58
Global_Average_Sum_Blosum_Matching_Scores_Pair_1,3.682864561176425e-58
Interface_Difference_Flexibility_Scores_Pair_1,4.032727343926917e-58
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_2,6.135077741128734e-57
Interface_Average_Difference_Helix_Percent_Pair_1,1.035279627703805e-56
Interface_Average_Difference_Helix_Percent_Pair_2,2.36557024016648e-56
Special-Sites_Average_Sum_Blosum_Matching_Scores_Pair_2,2.2827605263518525e-55
Domain_Sum_Blosum_Non-Similar_Scores_Pair_1,6.6954681347695e-55
Interface_Average_Difference_Helix_Percent_Joint,7.878884244916515e-55
Special-Sites_Sum_Blosum_Similar_Scores_Pair_1,6.047858134130308e-54
Special-Sites_Average_Sum_Blosum_Positive_Scores_Pair_2,1.0511200327186706e-53
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Joint,2.433944719222431e-53
Interface_Difference_Volume_Side_Chains_Scores_Pair_1,3.5274697499096905e-52
Special-Sites_Matching_Percent_Pair_2,4.1897908872619815e-52
Global_Average_Sum_Blosum_Positive_Scores_Joint,6.585480150893133e-52
Global_Average_Sum_Blosum_Matching_Scores_Joint,8.437886021524068e-52
Special-Sites_Non-Matching_Percent_Pair_2,7.908437026151699e-51
Domain_Non-Matching-Gap_Percent_Pair_1,4.2566371669732195e-50
Blast_Gap_Pair_2,8.648903663069281e-50
Interface_Difference_Flexibility_Scores_Joint,9.26709955557851e-50
Global_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,2.50110672100165e-49
Interface_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_1,6.403567676157416e-49
Special-Sites_Sum_Blosum_Non-Similar_Scores_Joint,1.0973956882748913e-48
Interface_Difference_Polarizability_Scores_Pair_1,1.8510889163918323e-48
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Joint,8.562528138654623e-48
Interface_Residues_Percent_Pair_1,9.70302227529542e-48
Blast_Gap_Pair_1,4.0157019272327187e-47
Domain_Non-Matching_Count_Pair_1,5.948900824602757e-47
Interface_Difference_Molecular_Weight_Scores_Pair_1,1.1907667914659609e-46
Interface_Overlapping_Domain_Count_Pair_2,2.8714308004131823e-46
Interface_Difference_Total_Accessible_Surface_Area_Scores_Pair_1,7.266932780046845e-46
Interface_Non-Matching-Gap_Percent_Pair_2,1.3350582961858654e-45
Global_Non-Matching-Gap_Count_Joint,2.2015409383761374e-45
Interface_Non-Matching-Gap_Percent_Joint,1.5834339907832967e-44
Interface_Difference_Volume_Side_Chains_Scores_Joint,4.2871770626307574e-44
Interface_Residues_Percent_Joint,5.449138945067577e-44
Interface_Non-Matching-Gap_Count_Pair_1,6.570801526635432e-44
Special-Sites_Average_Sum_Blosum_Similar_Scores_Pair_1,6.670024796992354e-44
