Column,P-Value
Blast_Start_B_Pair_2,1.6735509237612433e-08
Global_Non-Matching_Count_Joint,1.8015969877602807e-08
Global_Non-Matching_Count_Pair_1,2.445925345116003e-08
Interface_Difference_Net_Charge_Index_Side_Chains_Scores_Joint,4.803748441761466e-08
Interface_Residues_Percent_Joint,7.095357599880526e-08
Interface_Difference_Turn_Count_Joint,7.39295778354502e-08
Interface_Average_Difference_Sheet_Percent_Pair_2,1.0507256625626168e-07
Domain_Non-Matching_Count_Pair_1,1.1132471666790529e-07
Blast_Alignment_Length_Pair_2,1.5523948222102987e-07
Global_Average_Sum_Blosum_Similar_Scores_Pair_1,1.9613954211948346e-07
Global_Average_Sum_Blosum_Similar_Scores_Pair_2,2.116484484337632e-07
Domain_Sum_Blosum_Similar_Scores_Joint,3.485686592990826e-07
Interface_Difference_Solvent_Accessible_Surface_Area_Scores_Joint,5.559491866684649e-07
Interface_Average_Sum_Blosum_Similar_Scores_Joint,6.251854961069403e-07
Interface_Difference_Hydrophobicity_Scores_Joint,6.380151982991836e-07
Blast_End_A_Pair_2,7.129906944669011e-07
Blast_Gap_Joint,7.176493947196153e-07
Interface_Average_Difference_Turn_Percent_Pair_2,1.4777779660085355e-06
Blast_Gap_Pair_1,1.5320978542285618e-06
Domain_Length_Joint,1.844372967423022e-06
Global_Length_Joint,2.6175180925209934e-06
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Joint,2.7856026856580565e-06
Interface_Difference_Sheet_Count_Joint,3.07411659493851e-06
Domain_Sum_Blosum_Matching_Scores_Pair_1,3.840707063571141e-06
Global_Matching_Count_Pair_1,4.797631308576228e-06
Interface_Residues_Length_Pair_1,5.4770296953358715e-06
Domain_Matching_Count_Pair_1,6.671086862869087e-06
Special-Sites_Length_Joint,6.719700602371795e-06
Global_Length_Pair_1,7.225932542180637e-06
Interface_Difference_Polarity_Scores_Joint,8.914295386481586e-06
Interface_Residues_Length_Pair_2,9.966678084780643e-06
Global_Sum_Blosum_Matching_Scores_Pair_1,1.236654757897118e-05
Interface_Residues_Length_Joint,1.4271761960556927e-05
Special-Sites_Average_Sum_Blosum_Similar_Scores_Joint,1.582476219704895e-05
Fasta_Length_A_Pair_1,1.642396534040405e-05
Interface_Non-Matching-Gap_Count_Pair_2,2.068765177482228e-05
Interface_Residues_Percent_Pair_2,2.2914176897889794e-05
Interface_Difference_Helix_Count_Joint,2.837477660465807e-05
Interface_Difference_Volume_Buried_Residue_Scores_Joint,3.06289226555224e-05
Special-Sites_Length_Pair_1,4.05433088699139e-05
Domain_Sum_Blosum_Positive_Scores_Pair_1,4.138926681455958e-05
Interface_Sum_Blosum_Non-Similar_Scores_Joint,4.260941466236161e-05
Interface_Difference_Molecular_Weight_Scores_Joint,4.305361246712024e-05
Interface_Overlapping_Domain_Percent_Joint,5.642055611211049e-05
Interface_Difference_Total_Accessible_Surface_Area_Scores_Joint,5.96858927988112e-05
Special-Sites_Non-Matching_Count_Joint,6.036880492415764e-05
Global_Non-Matching_Percent_Pair_1,6.600522824041482e-05
Global_Non-Matching_Percent_Joint,7.126623724558138e-05
Interface_Overlapping_Domain_Count_Pair_1,8.002449200124254e-05
Interface_Difference_Emini_Surface_Fractional_Probability_Scores_Joint,0.00011974561585921116
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_2,0.00012025504849788559
Interface_Difference_Polarizability_Scores_Joint,0.0001442226329121396
Special-Sites_Length_Pair_2,0.00015176403986613568
Interface_Difference_Volume_Side_Chains_Scores_Joint,0.00015333943679099975
Global_Sum_Blosum_Positive_Scores_Pair_1,0.000161626918763272
Interface_Overlapping_Domain_Count_Pair_2,0.000299719558781228
Interface_Average_Difference_Helix_Percent_Pair_1,0.0003552878265987077
Blast_Start_A_Pair_2,0.0004428433478480915
Interface_Difference_Flexibility_Scores_Pair_2,0.0005939381023507553
Domain_Sum_Blosum_Positive_Scores_Pair_2,0.0006677830617236887
Domain_Sum_Blosum_Matching_Scores_Pair_2,0.0008351948216947058
Fasta_Length_A_Joint,0.0010252517699577838
Interface_Difference_Flexibility_Scores_Joint,0.0011635733584909591
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Joint,0.0012486388945166067
Interface_Sum_Blosum_Similar_Scores_Pair_1,0.0014070562535861326
Domain_Matching_Count_Pair_2,0.0015581148699338216
Interface_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,0.0016627633423235975
Blast_Mismatch_Count_Pair_1,0.002223291246035916
Interface_Average_Difference_Polarity_Scores_Pair_1,0.0026866562028285564
Interface_Sum_Blosum_Similar_Scores_Pair_2,0.0028139674661093596
Special-Sites_Sum_Blosum_Similar_Scores_Joint,0.002818104765873388
Blast_Mismatch_Count_Joint,0.0029843366299596814
Interface_Non-Matching_Percent_Joint,0.0032201248921047507
Global_Sum_Blosum_Similar_Scores_Pair_2,0.0039115410361328234
