Column,P-Value
Interface_Sum_Blosum_Positive_Scores_Joint,4.564155397065732e-17
Interface_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_1,4.8786957131537634e-17
Interface_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_2,7.879546621548675e-17
Interface_Matching_Count_Joint,7.922382302068203e-17
Interface_Matching_Percent_Pair_2,1.0187325034767556e-16
Interface_Sum_Blosum_Non-Similar_Scores_Pair_2,3.061135184819727e-16
Blast_Positive_Percent_Pair_2,3.599832847327581e-16
Blast_Mismatch_Percent_Joint,4.861671326978946e-16
Global_Non-Matching_Percent_Pair_2,5.263526991518061e-16
Interface_Average_Difference_Hydrophobicity_Scores_Pair_2,1.7486769370161413e-15
Global_Non-Matching_Percent_Pair_1,2.8206350845550116e-15
Fasta_Length_A_Pair_1,3.1221840609635923e-15
Interface_Difference_Volume_Buried_Residue_Scores_Pair_2,3.1918720338256807e-15
Interface_Sum_Blosum_Non-Similar_Scores_Pair_1,3.2677929822034033e-15
Interface_Difference_Emini_Surface_Fractional_Probability_Scores_Joint,3.734900257316165e-15
Interface_Difference_Polarity_Scores_Pair_2,5.382376587523401e-15
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Joint,1.771886877480523e-14
Interface_Average_Sum_Blosum_Similar_Scores_Joint,2.410244710900301e-14
Interface_Sum_Blosum_Non-Similar_Scores_Joint,6.669414055796732e-14
Domain_Non-Matching_Percent_Pair_1,7.557786429217151e-14
Special-Sites_Average_Sum_Blosum_Similar_Scores_Joint,1.1540280991683443e-13
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_2,1.4677952532865264e-13
Domain_Average_Sum_Blosum_Similar_Scores_Pair_1,2.5894159001424184e-13
Interface_Average_Difference_Hydrophobicity_Scores_Joint,6.987217550071795e-13
Interface_Residues_Percent_Pair_1,9.306176780300434e-13
Special-Sites_Matching_Count_Joint,1.8228802396885027e-12
Interface_Difference_Turn_Count_Pair_1,2.869352338010422e-12
Interface_Difference_Turn_Count_Pair_2,3.077962180337025e-12
Special-Sites_Sum_Blosum_Matching_Scores_Joint,3.4077055265683107e-12
Blast_Identical_Count_Pair_1,4.0084853496613606e-12
Special-Sites_Sum_Blosum_Similar_Scores_Joint,4.090652695257532e-12
Interface_Difference_Helix_Count_Pair_2,6.637709866530375e-12
Interface_Average_Sum_Blosum_Similar_Scores_Pair_1,1.0293801919587346e-11
Interface_Difference_Turn_Count_Joint,1.1789729932338212e-11
Domain_Average_Sum_Blosum_Similar_Scores_Joint,1.4398326495044932e-10
Special-Sites_Sum_Blosum_Positive_Scores_Joint,2.445434780763134e-10
Blast_Positive_Count_Pair_1,2.7051660677377905e-10
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_2,4.051611895722465e-10
Interface_Sum_Blosum_Matching_Scores_Pair_2,5.557348411988138e-10
Blast_Mismatch_Count_Pair_1,1.114143905563309e-09
Global_Sum_Blosum_Similar_Scores_Pair_2,1.2167237065797942e-09
Blast_Mismatch_Percent_Pair_2,1.7056460683214101e-09
Blast_Alignment_Length_Joint,2.178685083360223e-09
Interface_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_1,3.020010047248595e-09
Blast_Gap_Pair_2,3.3699226701293388e-09
Interface_Matching_Count_Pair_2,3.4001374986283247e-09
Domain_Non-Matching_Count_Joint,4.6436334387452415e-09
Interface_Sum_Blosum_Positive_Scores_Pair_2,5.7440304202158034e-09
Interface_Average_Difference_Hydrophobicity_Scores_Pair_1,6.436668360677103e-09
Interface_Sum_Blosum_Similar_Scores_Pair_1,8.560869736883725e-09
Domain_Non-Matching_Percent_Pair_2,1.2304078825754023e-08
Interface_Difference_Helix_Count_Joint,2.5261107623204228e-08
Interface_Difference_Helix_Count_Pair_1,3.2070735941659406e-08
Domain_Non-Matching_Count_Pair_1,5.380499452186719e-08
Interface_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_2,5.702806251122454e-08
Interface_Difference_Hydrophobicity_Scores_Pair_2,6.991140962536913e-08
Fasta_Length_A_Pair_2,7.181629710218045e-08
Interface_Sum_Blosum_Similar_Scores_Joint,1.2695889901040175e-07
Interface_Difference_Net_Charge_Index_Side_Chains_Scores_Joint,1.588834699838206e-07
Blast_Identical_Percent_Pair_2,1.8093411158956064e-07
Interface_Overlapping_Domain_Count_Joint,2.1662077878619023e-07
Interface_Overlapping_Special-Sites_Percent_Pair_1,1.4396808306493216e-06
Blast_Mismatch_Percent_Pair_1,2.3026021328701844e-06
Domain_Non-Matching_Count_Pair_2,2.8294026370764457e-06
Domain_Matching_Count_Joint,3.5504508969518223e-06
Domain_Matching_Count_Pair_1,6.204399286388993e-06
Interface_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_2,6.393726181732265e-06
Interface_Average_Difference_Sheet_Percent_Pair_2,6.629920207944521e-06
Global_Length_Pair_2,8.08083648724773e-06
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_1,1.1214211629078658e-05
Domain_Matching_Count_Pair_2,1.2362214166969972e-05
Fasta_Length_A_Joint,1.6752451029373583e-05
Blast_End_B_Pair_2,2.0341249431449606e-05
Interface_Difference_Sheet_Count_Pair_2,2.0787989910131113e-05
Interface_Residues_Percent_Joint,2.1493237038030354e-05
Interface_Difference_Solvent_Accessible_Surface_Area_Scores_Joint,2.6696793336381435e-05
Interface_Average_Difference_Sheet_Percent_Joint,4.839097465703443e-05
Special-Sites_Length_Pair_1,5.966733958851024e-05
Domain_Sum_Blosum_Matching_Scores_Joint,5.996059943613953e-05
Interface_Overlapping_Domain_Count_Pair_1,7.697650155222922e-05
Blast_End_A_Joint,8.6592199237794e-05
Domain_Sum_Blosum_Matching_Scores_Pair_2,9.959824218000227e-05
Interface_Average_Sum_Blosum_Similar_Scores_Pair_2,0.00012049675509525314
Interface_Difference_Hydrophobicity_Scores_Joint,0.0001222220108242658
Domain_Sum_Blosum_Matching_Scores_Pair_1,0.00015254850219671264
Global_Sum_Blosum_Similar_Scores_Pair_1,0.00015377087252587204
Interface_Difference_Hydrophobicity_Scores_Pair_1,0.00017841842324684064
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Joint,0.0003363509928952473
Blast_End_B_Pair_1,0.0003670735942655071
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_1,0.00042413068489016806
Interface_Overlapping_Special-Sites_Count_Pair_1,0.0004443362326053656
Interface_Overlapping_Domain_Count_Pair_2,0.0005733757921204774
Special-Sites_Non-Matching-Gap_Percent_Pair_1,0.0010704476916428628
Domain_Sum_Blosum_Positive_Scores_Pair_2,0.0010977197507163615
Domain_Sum_Blosum_Positive_Scores_Joint,0.0012001810148998314
Domain_Average_Sum_Blosum_Similar_Scores_Pair_2,0.0019131111435144222
Blast_Mismatch_Count_Pair_2,0.0019753853254588613
Special-Sites_Non-Matching-Gap_Count_Pair_1,0.0019964162350381283
Fasta_Length_B_Pair_2,0.0020608459957380636
Interface_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_1,0.0021513008161989674
Domain_Sum_Blosum_Positive_Scores_Pair_1,0.0023078145398814642
Interface_Difference_Sheet_Count_Joint,0.002392615656435852
Domain_Length_Pair_1,0.0028448533087292167
Interface_Average_Difference_Sheet_Percent_Pair_1,0.0034867691546915922
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_2,0.0052338335341927215
Interface_Overlapping_Special-Sites_Percent_Pair_2,0.007503856164807606
Blast_Mismatch_Count_Joint,0.009428121318079529
Global_Matching_Count_Pair_1,0.009742507387618136
Special-Sites_Average_Sum_Blosum_Positive_Scores_Pair_1,0.010721950190680722
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_2,0.010979040957171783
Interface_Overlapping_Special-Sites_Count_Pair_2,0.016486309009062408
Special-Sites_Average_Sum_Blosum_Matching_Scores_Pair_1,0.016556028866800722
Interface_Sum_Blosum_Similar_Scores_Pair_2,0.018312068597325638
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_1,0.019129265355732825
Interface_Difference_Sheet_Count_Pair_1,0.02051195153116332
Interface_Non-Matching_Percent_Pair_2,0.021307926344353578
Global_Sum_Blosum_Matching_Scores_Pair_1,0.023177185100673073
Global_Sum_Blosum_Positive_Scores_Pair_1,0.028256214424283492
Special-Sites_Matching_Percent_Pair_1,0.03571836237927648
Interface_Overlapping_Special-Sites_Percent_Joint,0.03644380952958956
Interface_Residues_Length_Pair_2,0.037334051609816676
Interface_Overlapping_Domain_Percent_Pair_1,0.04176953708758916
Special-Sites_Sum_Blosum_Matching_Scores_Pair_1,0.04551898340792114
Interface_Non-Matching_Count_Joint,0.05081919281564323
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Joint,0.05102671237172188
Special-Sites_Sum_Blosum_Positive_Scores_Pair_1,0.0601235007689503
Blast_Alignment_Length_Pair_1,0.06555259169730476
Interface_Non-Matching_Percent_Pair_1,0.074396570612857
Special-Sites_Non-Matching-Gap_Count_Pair_2,0.07508836817579291
Special-Sites_Non-Matching-Gap_Percent_Pair_2,0.0836455670157405
Interface_Residues_Length_Pair_1,0.08388641464642665
Interface_Overlapping_Special-Sites_Count_Joint,0.09910917750919646
Special-Sites_Matching_Count_Pair_1,0.10648220262414082
Domain_Length_Joint,0.10791175225621319
Global_Non-Matching_Count_Pair_2,0.11200142119443673
Blast_End_A_Pair_1,0.11800478839449463
Interface_Overlapping_Domain_Percent_Pair_2,0.1445556412500506
Domain_Sum_Blosum_Similar_Scores_Pair_1,0.19126135517189363
Domain_Sum_Blosum_Similar_Scores_Joint,0.1926509796343393
Domain_Length_Pair_2,0.19741688229706195
Global_Sum_Blosum_Similar_Scores_Joint,0.21403896067568423
Interface_Non-Matching_Count_Pair_2,0.23133781695849343
Blast_End_B_Joint,0.26578682288547784
Interface_Non-Matching_Percent_Joint,0.26908821284509693
Interface_Residues_Length_Joint,0.27522804365649844
Interface_Residues_Percent_Pair_2,0.27579080291982017
Interface_Non-Matching_Count_Pair_1,0.2925873484801439
Interface_Overlapping_Domain_Percent_Joint,0.3208216400623169
Special-Sites_Non-Matching-Gap_Count_Joint,0.365114642315044
Special-Sites_Non-Matching-Gap_Percent_Joint,0.3775852174655684
Domain_Sum_Blosum_Similar_Scores_Pair_2,0.40597969062771333
Interface_Gap_Score_Pair_1,0.49999914711830773
Interface_Gap_Score_Pair_2,0.49999914711830773
Interface_Gap_Score_Joint,0.49999914711830773
