Column,P-Value
Domain_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,9.083979522293542e-07
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_2,1.0320013048056938e-06
Interface_Residues_Percent_Pair_1,1.0811323706071342e-06
Interface_Sum_Blosum_Similar_Scores_Pair_2,1.2998309202545234e-06
Blast_Coverage_A_Joint,1.3201452994159243e-06
Interface_Residues_Percent_Joint,1.4100364194195415e-06
Blast_Coverage_B_Pair_2,1.7026883294176532e-06
Global_Sum_Blosum_Matching_Scores_Pair_2,1.7886859182243537e-06
Domain_Sum_Blosum_Matching_Scores_Pair_2,2.0510572156140634e-06
Interface_Difference_Polarity_Scores_Joint,2.158290322880361e-06
Interface_Average_Sum_Blosum_Matching_Scores_Pair_1,2.5983428733444232e-06
Interface_Residues_Length_Pair_1,3.0769658274590175e-06
Domain_Non-Matching-Gap_Count_Joint,4.142008621662098e-06
Interface_Difference_Volume_Buried_Residue_Scores_Joint,4.632619350255037e-06
Interface_Average_Difference_Polarity_Scores_Pair_1,5.480269238871576e-06
Interface_Overlapping_Domain_Count_Pair_1,5.62033618524616e-06
Global_Score_Joint,5.996805888512508e-06
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_1,6.549804072015445e-06
Global_Sum_Blosum_Positive_Scores_Pair_2,6.730731331975447e-06
Domain_Average_Sum_Blosum_Similar_Scores_Joint,7.289816861787423e-06
Interface_Overlapping_Domain_Count_Joint,8.370041006212897e-06
Interface_Difference_Volume_Buried_Residue_Scores_Pair_1,8.475334956002153e-06
Interface_Difference_Polarity_Scores_Pair_1,9.523999181036927e-06
Global_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,1.1102636346723897e-05
Interface_Average_Difference_Volume_Buried_Residue_Scores_Pair_1,1.2708083465965812e-05
Domain_Non-Matching-Gap_Count_Pair_2,1.4100148823245786e-05
Interface_Difference_Net_Charge_Index_Side_Chains_Scores_Joint,1.416517395543123e-05
Domain_Non-Matching-Gap_Percent_Joint,1.4552740028671174e-05
