Column,P-Value
Blast_Coverage_B_Pair_1,1.3334524282415778e-21
Interface_Difference_Helix_Count_Pair_1,3.1347880192770384e-20
Global_Average_Sum_Blosum_Positive_Scores_Pair_1,4.1006919249518125e-20
Interface_Sum_Blosum_Non-Similar_Scores_Joint,1.1653278244871293e-19
Interface_Difference_Polarity_Scores_Joint,1.4376914519650624e-19
Interface_Difference_Turn_Count_Pair_1,1.4470331829995985e-19
Blast_End_B_Pair_2,2.3711765936435576e-19
Blast_Positive_Percent_Joint,3.9294547229515135e-19
Interface_Difference_Volume_Buried_Residue_Scores_Joint,8.914606573845813e-19
Global_Average_Sum_Blosum_Matching_Scores_Joint,1.2506490742762016e-18
Special-Sites_Sum_Blosum_Non-Similar_Scores_Joint,3.201162038221922e-17
Special-Sites_Average_Sum_Blosum_Non-Similar_Scores_Joint,6.123684874529664e-17
Blast_Positive_Percent_Pair_2,6.503133179736703e-17
Domain_Average_Sum_Blosum_Similar_Scores_Joint,1.3699409236570458e-16
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_1,1.4056604932917705e-16
Blast_End_A_Pair_2,2.9797561784609296e-16
Blast_Mismatch_Percent_Joint,3.091657828011185e-16
Global_Average_Sum_Blosum_Matching_Scores_Pair_1,6.2619075054392895e-16
Interface_Difference_Turn_Count_Pair_2,1.0711833570598793e-15
Blast_Mismatch_Count_Pair_2,1.5218229135073044e-15
Blast_Positive_Percent_Pair_1,2.3393036759340615e-15
Interface_Difference_Molecular_Weight_Scores_Joint,5.789311844879783e-15
Interface_Non-Matching_Count_Pair_2,7.786245864289783e-15
Interface_Difference_Emini_Surface_Fractional_Probability_Scores_Joint,8.77504139477223e-15
Interface_Difference_Total_Accessible_Surface_Area_Scores_Joint,1.0062580035752564e-14
Interface_Difference_Sheet_Count_Pair_2,3.797906342319801e-14
Global_Sum_Blosum_Similar_Scores_Pair_2,5.922508992375282e-14
Interface_Difference_Polarizability_Scores_Joint,1.1789738601440416e-13
Interface_Average_Sum_Blosum_Similar_Scores_Pair_1,1.8546825368711163e-13
Interface_Difference_Helix_Count_Pair_2,3.4159941109695955e-13
Interface_Sum_Blosum_Similar_Scores_Pair_2,3.449423085359628e-13
Blast_Alignment_Length_Pair_2,6.841621985555572e-13
Interface_Overlapping_Domain_Percent_Joint,1.9184255929374582e-12
Blast_Positive_Count_Joint,2.2102487533380117e-12
Global_Sum_Blosum_Positive_Scores_Pair_2,2.324422327301373e-12
Interface_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_1,5.079819146258975e-12
Blast_Coverage_A_Pair_1,5.326388088377086e-12
Blast_Mismatch_Percent_Pair_1,8.469012885479854e-12
Interface_Difference_Volume_Side_Chains_Scores_Joint,2.3365435785659087e-11
Interface_Difference_Polarity_Scores_Pair_1,2.47623692780692e-11
Global_Sum_Blosum_Matching_Scores_Pair_2,3.311161910491846e-11
Interface_Average_Difference_Helix_Percent_Joint,2.622819703600571e-10
Special-Sites_Sum_Blosum_Similar_Scores_Joint,6.989298430553949e-10
Domain_Average_Sum_Blosum_Similar_Scores_Pair_2,1.146393862468402e-09
Interface_Difference_Volume_Buried_Residue_Scores_Pair_1,1.308205715947507e-09
Special-Sites_Average_Sum_Blosum_Similar_Scores_Joint,1.3312500343160376e-09
Blast_Mismatch_Percent_Pair_2,1.454510495233277e-09
Blast_Positive_Count_Pair_1,2.263535578734424e-09
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Joint,2.692450305906804e-09
Blast_Identical_Count_Joint,3.200248434480287e-09
Interface_Difference_Hydrophobicity_Scores_Pair_2,4.942615238322827e-09
Interface_Average_Difference_Turn_Percent_Joint,5.43878381327387e-09
Interface_Average_Difference_Hydrophobicity_Scores_Joint,8.170709222962859e-09
Global_Matching_Count_Pair_2,8.513310473968766e-09
Blast_Identical_Percent_Pair_2,9.131452116333357e-09
Blast_Identical_Percent_Pair_1,1.0221254694602679e-08
Interface_Sum_Blosum_Non-Similar_Scores_Pair_1,1.764600593429968e-08
Interface_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_2,2.3733275648093105e-08
Blast_Identical_Percent_Joint,3.223496390628478e-08
Blast_Identical_Count_Pair_1,4.162828763484513e-08
Interface_Sum_Blosum_Non-Similar_Scores_Pair_2,4.6092909273014384e-08
Interface_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_2,4.854881026283238e-08
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_1,1.1390453409537474e-07
Interface_Non-Matching-Gap_Percent_Pair_1,2.7031112900314817e-07
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Joint,4.6245709302577856e-07
Interface_Average_Difference_Sheet_Percent_Joint,5.153565841537674e-07
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_2,7.637629367846582e-07
Interface_Non-Matching_Percent_Pair_2,1.0676392574518706e-06
Interface_Difference_Flexibility_Scores_Joint,2.169640635174545e-06
Global_Score_Pair_2,2.794153981450634e-06
Interface_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_1,4.428115978649932e-06
Domain_Average_Sum_Blosum_Similar_Scores_Pair_1,1.1403874832778526e-05
Blast_E-Value_Pair_2,1.1733334138297774e-05
Interface_Difference_Total_Accessible_Surface_Area_Scores_Pair_1,1.3873180642972824e-05
Special-Sites_Non-Matching-Gap_Count_Pair_1,1.770013382415583e-05
Interface_Difference_Molecular_Weight_Scores_Pair_1,1.7883787796080484e-05
Special-Sites_Non-Matching-Gap_Percent_Pair_1,1.9303605055993187e-05
Interface_Overlapping_Domain_Count_Pair_2,3.0368468693990446e-05
Interface_Difference_Polarity_Scores_Pair_2,3.281742670663372e-05
Interface_Difference_Volume_Buried_Residue_Scores_Pair_2,4.518775699182648e-05
Interface_Difference_Polarizability_Scores_Pair_1,6.66833430938735e-05
Interface_Average_Difference_Helix_Percent_Pair_1,8.878679335975177e-05
Interface_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_2,0.00010279319976829441
Interface_Difference_Molecular_Weight_Scores_Pair_2,0.00013641969540347058
Interface_Difference_Total_Accessible_Surface_Area_Scores_Pair_2,0.0002016960269308729
Interface_Difference_Volume_Side_Chains_Scores_Pair_2,0.00022313894363183525
Blast_Bitscore_Pair_2,0.00026201385501926406
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_1,0.0003839438852984955
Interface_Average_Difference_Turn_Percent_Pair_1,0.0004084447378476331
Interface_Average_Difference_Volume_Buried_Residue_Scores_Pair_2,0.0004829156732568957
Interface_Average_Difference_Polarity_Scores_Pair_2,0.0005216659230677103
Interface_Average_Difference_Flexibility_Scores_Pair_1,0.0006046191403933899
Interface_Average_Difference_Molecular_Weight_Scores_Pair_1,0.0007643381916360726
Interface_Average_Difference_Hydrophobicity_Scores_Pair_1,0.0008298780041628418
Interface_Difference_Polarizability_Scores_Pair_2,0.0008708287919698145
Interface_Non-Matching_Percent_Joint,0.0016518858582562175
Interface_Non-Matching-Gap_Count_Pair_1,0.0017812032106532493
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_2,0.0017851154805564912
Interface_Average_Difference_Total_Accessible_Surface_Area_Scores_Pair_2,0.0020351148313437705
Interface_Average_Difference_Polarizability_Scores_Pair_2,0.002543933512919829
Blast_E-Value_Pair_1,0.0027164235352097905
Interface_Average_Difference_Volume_Side_Chains_Scores_Pair_1,0.0027580710742579825
Blast_Positive_Count_Pair_2,0.003557455644010716
Interface_Average_Difference_Molecular_Weight_Scores_Pair_2,0.0037794774965744017
